"Course","Course code","Subject","Subject code","Link","Points","Levels"
"Allmän järnvägsteknik - Nivå 1","ALLM1000X","Allmän järnvägsteknik","ALLM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ALLM&courseCode=ALLM1000X&version=1&tos=gy&origin=gy2025","100","ALLM1000X"
"Anatomi och fysiologi - Nivå 1a1","ANAT1A10X","Anatomi och fysiologi","ANAT","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANAT&courseCode=ANAT1A10X&version=1&tos=gy&origin=gy2025","50","ANAT1A10X,ANAT1A20X"
"Anatomi och fysiologi - Nivå 1a2","ANAT1A20X","Anatomi och fysiologi","ANAT","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANAT&courseCode=ANAT1A20X&version=1&tos=gy&origin=gy2025","50","ANAT1A10X,ANAT1A20X"
"Anatomi och fysiologi - Nivå 1b","ANAT1B00X","Anatomi och fysiologi","ANAT","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANAT&courseCode=ANAT1B00X&version=1&tos=gy&origin=gy2025","100","ANAT1B00X"
"Animation - Nivå 1","ANIM1000X","Animation","ANIM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANIM&courseCode=ANIM1000X&version=1&tos=gy&origin=gy2025","100","ANIM1000X,ANIM2000X,ANIM3000X"
"Animation - Nivå 2","ANIM2000X","Animation","ANIM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANIM&courseCode=ANIM2000X&version=1&tos=gy&origin=gy2025","100","ANIM1000X,ANIM2000X,ANIM3000X"
"Animation - Nivå 3","ANIM3000X","Animation","ANIM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANIM&courseCode=ANIM3000X&version=1&tos=gy&origin=gy2025","100","ANIM1000X,ANIM2000X,ANIM3000X"
"Anläggning - Nivå 1","ANLA1000X","Anläggning","ANLA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANLA&courseCode=ANLA1000X&version=1&tos=gy&origin=gy2025","150","ANLA1000X,ANLA2000X,ANLA3000X"
"Anläggning - Nivå 2","ANLA2000X","Anläggning","ANLA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANLA&courseCode=ANLA2000X&version=1&tos=gy&origin=gy2025","150","ANLA1000X,ANLA2000X,ANLA3000X"
"Anläggning - Nivå 3","ANLA3000X","Anläggning","ANLA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANLA&courseCode=ANLA3000X&version=1&tos=gy&origin=gy2025","200","ANLA1000X,ANLA2000X,ANLA3000X"
"Anläggningsförare - Nivå 1","ANLG1000X","Anläggningsförare","ANLG","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANLG&courseCode=ANLG1000X&version=1&tos=gy&origin=gy2025","150","ANLG1000X,ANLG2000X"
"Anläggningsförare - Nivå 2","ANLG2000X","Anläggningsförare","ANLG","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANLG&courseCode=ANLG2000X&version=1&tos=gy&origin=gy2025","150","ANLG1000X,ANLG2000X"
"Anläggningsmaskinsteknik - Nivå 1","ANLN1000X","Anläggningsmaskinsteknik","ANLN","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ANLN&courseCode=ANLN1000X&version=1&tos=gy&origin=gy2025","100","ANLN1000X"
"Arkitektur - Nivå 1","ARKI1000X","Arkitektur","ARKI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ARKI&courseCode=ARKI1000X&version=1&tos=gy&origin=gy2025","100","ARKI1000X,ARKI2000X"
"Arkitektur - Nivå 2","ARKI2000X","Arkitektur","ARKI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ARKI&courseCode=ARKI2000X&version=1&tos=gy&origin=gy2025","100","ARKI1000X,ARKI2000X"
"Artificiell intelligens - Nivå 1","ARTI1000X","Artificiell intelligens","ARTI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ARTI&courseCode=ARTI1000X&version=2&tos=gy&origin=gy2025","100","ARTI1000X,ARTI2000X"
"Artificiell intelligens - Nivå 2","ARTI2000X","Artificiell intelligens","ARTI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ARTI&courseCode=ARTI2000X&version=2&tos=gy&origin=gy2025","100","ARTI1000X,ARTI2000X"
"ATV- och motorcykelteknik - Nivå 1","ATVO1000X","ATV- och motorcykelteknik","ATVO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ATVO&courseCode=ATVO1000X&version=1&tos=gy&origin=gy2025","100","ATVO1000X"
"Automationsteknik - Nivå 1","AUTM1000X","Automationsteknik","AUTM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTM&courseCode=AUTM1000X&version=1&tos=gy&origin=gy2025","100","AUTM1000X,AUTM2000X,AUTM3000X"
"Automationsteknik - Nivå 2","AUTM2000X","Automationsteknik","AUTM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTM&courseCode=AUTM2000X&version=1&tos=gy&origin=gy2025","200","AUTM1000X,AUTM2000X,AUTM3000X"
"Automationsteknik - Nivå 3","AUTM3000X","Automationsteknik","AUTM","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTM&courseCode=AUTM3000X&version=1&tos=gy&origin=gy2025","200","AUTM1000X,AUTM2000X,AUTM3000X"
"Automatiserade processer - Nivå 1","AUTO1000X","Automatiserade processer","AUTO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTO&courseCode=AUTO1000X&version=1&tos=gy&origin=gy2025","100","AUTO1000X,AUTO2000X"
"Automatiserade processer - Nivå 2","AUTO2000X","Automatiserade processer","AUTO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTO&courseCode=AUTO2000X&version=1&tos=gy&origin=gy2025","100","AUTO1000X,AUTO2000X"
"Automatiserade system - Nivå 1","AUTA1000X","Automatiserade system","AUTA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTA&courseCode=AUTA1000X&version=1&tos=gy&origin=gy2025","100","AUTA1000X,AUTA2000X"
"Automatiserade system - Nivå 2","AUTA2000X","Automatiserade system","AUTA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AUTA&courseCode=AUTA2000X&version=1&tos=gy&origin=gy2025","100","AUTA1000X,AUTA2000X"
"Avel och hästuppfödning - Nivå 1","AVEO100SX","Avel och hästuppfödning","AVEO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AVEO&courseCode=AVEO100SX&version=1&tos=gy&origin=gy2025","100","AVEO100SX"
"Backendutveckling - Nivå 1","BACE100TX","Backendutveckling","BACE","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BACE&courseCode=BACE100TX&version=1&tos=gy&origin=gy2025","200","BACE100TX,BACE200TX"
"Backendutveckling - Nivå 2","BACE200TX","Backendutveckling","BACE","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BACE&courseCode=BACE200TX&version=1&tos=gy&origin=gy2025","200","BACE100TX,BACE200TX"
"Bageri - Nivå 1","BAGI1000X","Bageri","BAGI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BAGI&courseCode=BAGI1000X&version=1&tos=gy&origin=gy2025","100","BAGI1000X,BAGI2000X,BAGI3000X,BAGI4000X"
"Bageri - Nivå 2","BAGI2000X","Bageri","BAGI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BAGI&courseCode=BAGI2000X&version=1&tos=gy&origin=gy2025","200","BAGI1000X,BAGI2000X,BAGI3000X,BAGI4000X"
"Bageri - Nivå 3","BAGI3000X","Bageri","BAGI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BAGI&courseCode=BAGI3000X&version=1&tos=gy&origin=gy2025","200","BAGI1000X,BAGI2000X,BAGI3000X,BAGI4000X"
"Bageri - Nivå 4","BAGI4000X","Bageri","BAGI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BAGI&courseCode=BAGI4000X&version=1&tos=gy&origin=gy2025","100","BAGI1000X,BAGI2000X,BAGI3000X,BAGI4000X"
"Bandschaktare - Nivå 1","BAND1000X","Bandschaktare","BAND","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BAND&courseCode=BAND1000X&version=1&tos=gy&origin=gy2025","200","BAND1000X"
"Banskötsel för hästsport - Nivå 1","BANK1000X","Banskötsel för hästsport","BANK","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BANK&courseCode=BANK1000X&version=1&tos=gy&origin=gy2025","100","BANK1000X"
"Barberare – fördjupning - Nivå 1","BARB1000X","Barberare – fördjupning","BARB","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARB&courseCode=BARB1000X&version=1&tos=gy&origin=gy2025","200","BARB1000X,BARB2000X,BARB3000X,BARB4000X"
"Barberare – fördjupning - Nivå 2","BARB2000X","Barberare – fördjupning","BARB","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARB&courseCode=BARB2000X&version=1&tos=gy&origin=gy2025","200","BARB1000X,BARB2000X,BARB3000X,BARB4000X"
"Barberare – fördjupning - Nivå 3","BARB3000X","Barberare – fördjupning","BARB","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARB&courseCode=BARB3000X&version=1&tos=gy&origin=gy2025","200","BARB1000X,BARB2000X,BARB3000X,BARB4000X"
"Barberare – fördjupning - Nivå 4","BARB4000X","Barberare – fördjupning","BARB","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARB&courseCode=BARB4000X&version=1&tos=gy&origin=gy2025","100","BARB1000X,BARB2000X,BARB3000X,BARB4000X"
"Barberare – teknik - Nivå 1","BARR1000X","Barberare – teknik","BARR","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARR&courseCode=BARR1000X&version=1&tos=gy&origin=gy2025","200","BARR1000X,BARR2000X"
"Barberare – teknik - Nivå 2","BARR2000X","Barberare – teknik","BARR","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARR&courseCode=BARR2000X&version=1&tos=gy&origin=gy2025","200","BARR1000X,BARR2000X"
"Barn- och ungdomsvård - Nivå 1","BARN1000X","Barn- och ungdomsvård","BARN","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BARN&courseCode=BARN1000X&version=1&tos=gy&origin=gy2025","200","BARN1000X"
"Barteknik och ansvarsfull alkoholservering - Nivå 1","BART1000X","Barteknik och ansvarsfull alkoholservering","BART","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BART&courseCode=BART1000X&version=1&tos=gy&origin=gy2025","100","BART1000X"
"Beläggning - Nivå 1","BELA1000X","Beläggning","BELA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BELA&courseCode=BELA1000X&version=1&tos=gy&origin=gy2025","200","BELA1000X,BELA2000X"
"Beläggning - Nivå 2","BELA2000X","Beläggning","BELA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BELA&courseCode=BELA2000X&version=1&tos=gy&origin=gy2025","200","BELA1000X,BELA2000X"
"Berghantering - Nivå 1","BERG1000X","Berghantering","BERG","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BERG&courseCode=BERG1000X&version=1&tos=gy&origin=gy2025","200","BERG1000X,BERG2000X"
"Berghantering - Nivå 2","BERG2000X","Berghantering","BERG","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BERG&courseCode=BERG2000X&version=1&tos=gy&origin=gy2025","200","BERG1000X,BERG2000X"
"Besöksnäringen - Nivå 1","BESO1000X","Besöksnäringen","BESO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BESO&courseCode=BESO1000X&version=1&tos=gy&origin=gy2025","100","BESO1000X"
"Betong - Nivå 1","BETO1000X","Betong","BETO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BETO&courseCode=BETO1000X&version=1&tos=gy&origin=gy2025","200","BETO1000X,BETO2000X,BETO3000X"
"Betong - Nivå 2","BETO2000X","Betong","BETO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BETO&courseCode=BETO2000X&version=1&tos=gy&origin=gy2025","200","BETO1000X,BETO2000X,BETO3000X"
"Betong - Nivå 3","BETO3000X","Betong","BETO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BETO&courseCode=BETO3000X&version=1&tos=gy&origin=gy2025","100","BETO1000X,BETO2000X,BETO3000X"
"Bevakning - Nivå 1","BEVK1000X","Bevakning","BEVK","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BEVK&courseCode=BEVK1000X&version=1&tos=gy&origin=gy2025","100","BEVK1000X"
"Bevarandebiologi - Nivå 1","BEVA1000X","Bevarandebiologi","BEVA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=BEVA&courseCode=BEVA1000X&version=1&tos=gy&origin=gy2025","100","BEVA1000X"
